Variable,Bin,WoE,Puntos
revolving_util,"(-0.001, 0.00287]",-1.027358,27
revolving_util,"(0.00287, 0.0189]",-1.626476,42
revolving_util,"(0.0189, 0.0425]",-1.626476,42
revolving_util,"(0.0425, 0.0815]",-1.189717,31
revolving_util,"(0.0815, 0.151]",-1.147986,30
revolving_util,"(0.151, 0.269]",-0.738011,19
revolving_util,"(0.269, 0.446]",-0.278234,7
revolving_util,"(0.446, 0.699]",0.329333,-9
revolving_util,"(0.699, 0.981]",1.01633,-26
revolving_util,"(0.981, 1.093]",1.437904,-37
age,"(-0.001, 33.0]",0.548925,-11
age,"(33.0, 39.0]",0.390393,-8
age,"(39.0, 44.0]",0.273227,-5
age,"(44.0, 48.0]",0.214208,-4
age,"(48.0, 52.0]",0.179223,-4
age,"(52.0, 56.0]",-0.016764,0
age,"(56.0, 61.0]",-0.294184,6
age,"(61.0, 65.0]",-0.601812,12
age,"(65.0, 72.0]",-0.898508,18
age,"(72.0, 109.0]",-1.187107,23
late_30_59,"(-0.001, 1.0]",-0.25932,0
late_30_59,"(1.0, 4.0]",1.907299,0
debt_ratio,"(-0.001, 0.0308]",-0.17811,3
debt_ratio,"(0.0308, 0.134]",0.006041,0
debt_ratio,"(0.134, 0.214]",-0.113363,2
debt_ratio,"(0.214, 0.288]",-0.237983,4
debt_ratio,"(0.288, 0.367]",-0.169929,3
debt_ratio,"(0.367, 0.468]",-0.00095,0
debt_ratio,"(0.468, 0.646]",0.261359,-4
debt_ratio,"(0.646, 3.856]",0.584585,-10
debt_ratio,"(3.856, 1259.0]",-0.121612,2
debt_ratio,"(1259.0, 4979.04]",-0.336316,6
monthly_income,"(-0.001, 2316.9]",0.282575,-4
monthly_income,"(2316.9, 3299.0]",0.479895,-7
monthly_income,"(3299.0, 4200.0]",0.218811,-3
monthly_income,"(4200.0, 5216.0]",0.173329,-3
monthly_income,"(5216.0, 5245.5]",-0.369247,5
monthly_income,"(5245.5, 6161.0]",-0.023592,0
monthly_income,"(6161.0, 6602.6]",-0.063226,1
monthly_income,"(6602.6, 8251.0]",-0.260283,4
monthly_income,"(8251.0, 10772.0]",-0.356267,5
monthly_income,"(10772.0, 23000.0]",-0.405644,6
open_credit_lines,"(-0.001, 3.0]",0.53151,-32
open_credit_lines,"(3.0, 4.0]",-0.058362,3
open_credit_lines,"(4.0, 5.0]",-0.08089,5
open_credit_lines,"(5.0, 7.0]",-0.181339,11
open_credit_lines,"(7.0, 8.0]",-0.360636,22
open_credit_lines,"(8.0, 9.0]",-0.094455,6
open_credit_lines,"(9.0, 10.0]",-0.116373,7
open_credit_lines,"(10.0, 12.0]",-0.08826,5
open_credit_lines,"(12.0, 15.0]",-0.124112,7
open_credit_lines,"(15.0, 24.0]",0.022777,-1
late_90plus,"(-0.001, 3.0]",0.0,0
real_estate_loans,"(-0.001, 1.0]",0.019838,-1
real_estate_loans,"(1.0, 2.0]",-0.196055,6
real_estate_loans,"(2.0, 4.0]",0.30626,-10
late_60_89,"(-0.001, 2.0]",0.0,0
n_dependents,"(-0.001, 1.0]",-0.081336,0
n_dependents,"(1.0, 2.0]",0.184789,1
n_dependents,"(2.0, 4.0]",0.347609,1
debt_to_income,"(-0.001, 80.993]",-0.182283,4
debt_to_income,"(80.993, 548.815]",0.175601,-3
debt_to_income,"(548.815, 1030.879]",0.181718,-4
debt_to_income,"(1030.879, 1549.832]",-0.004641,0
debt_to_income,"(1549.832, 2100.721]",-0.17811,3
debt_to_income,"(2100.721, 2771.532]",-0.113363,2
debt_to_income,"(2771.532, 3781.643]",-0.010019,0
debt_to_income,"(3781.643, 7519.938]",0.229549,-4
debt_to_income,"(7519.938, 6142271.25]",0.111015,-2
debt_to_income,"(6142271.25, 31323140.64]",-0.348731,7
total_late_payments,"(-0.001, 1.0]",-0.565605,0
total_late_payments,"(1.0, 9.0]",2.040293,0
income_per_dependent,"(-0.001, 1258.2]",0.485376,-5
income_per_dependent,"(1258.2, 1875.0]",0.428985,-4
income_per_dependent,"(1875.0, 2500.0]",0.145425,-1
income_per_dependent,"(2500.0, 3041.0]",0.152486,-1
income_per_dependent,"(3041.0, 3916.0]",-0.04961,0
income_per_dependent,"(3916.0, 5000.0]",-0.207124,2
income_per_dependent,"(5000.0, 5245.5]",-0.397636,4
income_per_dependent,"(5245.5, 6291.0]",-0.195584,2
income_per_dependent,"(6291.0, 8000.0]",-0.320078,3
income_per_dependent,"(8000.0, 23000.0]",-0.520737,5
